run_id,source,season,ptype,variant,out_file,dino_sim,ssim,clip_season_prob,clip_directional,structure_score,season_score,disqualified,score,gen_time_sec,manual_score,manual_comment
20260706-153716,levir_val_25.png,autumn,zero_shot,0,levir_val_25__autumn__zero_shot__v0.png,0.9793,0.6209,0.3631,0.1475,0.9076,0.4684,False,0.7319,0.661,,
20260706-153716,levir_val_25.png,autumn,contextual,0,levir_val_25__autumn__contextual__v0.png,0.9796,0.5879,0.0651,0.0653,0.9013,0.2989,False,0.6603,0.662,,
20260706-153716,levir_val_25.png,autumn,positive,0,levir_val_25__autumn__positive__v0.png,0.9726,0.5724,0.477,0.1353,0.8926,0.5223,False,0.7445,0.661,,
20260706-153716,levir_val_25.png,autumn,negative,0,levir_val_25__autumn__negative__v0.png,0.9621,0.5886,0.8827,0.1616,0.8874,0.7317,False,0.8251,0.661,,
20260706-153716,levir_val_25.png,autumn,few_shot,0,levir_val_25__autumn__few_shot__v0.png,0.9683,0.6007,0.4936,0.14,0.8948,0.5318,False,0.7496,0.662,,
20260706-153716,levir_val_25.png,autumn,cot,0,levir_val_25__autumn__cot__v0.png,0.9726,0.5948,0.2858,0.1145,0.897,0.4215,False,0.7068,0.661,,
20260706-153716,levir_val_25.png,autumn,kontext_guide,0,levir_val_25__autumn__kontext_guide__v0.png,0.9641,0.5819,0.5751,0.1433,0.8876,0.5734,False,0.7619,0.661,,
20260706-153716,levir_val_25.png,autumn,hybrid,0,levir_val_25__autumn__hybrid__v0.png,0.9727,0.5926,0.3531,0.1062,0.8967,0.4531,False,0.7192,0.662,,
20260706-153716,levir_val_25.png,winter,zero_shot,0,levir_val_25__winter__zero_shot__v0.png,0.9687,0.6677,0.1473,0.0277,0.9085,0.3306,False,0.6773,0.66,,
20260706-153716,levir_val_25.png,winter,contextual,0,levir_val_25__winter__contextual__v0.png,0.9743,0.6111,0.1357,0.0218,0.9017,0.3233,False,0.6703,0.661,,
20260706-153716,levir_val_25.png,winter,positive,0,levir_val_25__winter__positive__v0.png,0.9714,0.6353,0.1488,0.0251,0.9042,0.3307,False,0.6748,0.66,,
20260706-153716,levir_val_25.png,winter,negative,0,levir_val_25__winter__negative__v0.png,0.9605,0.6014,0.2757,0.0471,0.8887,0.3996,False,0.6931,0.661,,
20260706-153716,levir_val_25.png,winter,few_shot,0,levir_val_25__winter__few_shot__v0.png,0.9791,0.6266,0.305,0.0983,0.9086,0.4271,False,0.716,0.661,,
20260706-153716,levir_val_25.png,winter,cot,0,levir_val_25__winter__cot__v0.png,0.9766,0.6094,0.1624,0.0289,0.9031,0.3384,False,0.6773,0.661,,
20260706-153716,levir_val_25.png,winter,kontext_guide,0,levir_val_25__winter__kontext_guide__v0.png,0.9592,0.6283,0.1929,0.0331,0.893,0.3547,False,0.6777,0.66,,
20260706-153716,levir_val_25.png,winter,hybrid,0,levir_val_25__winter__hybrid__v0.png,0.9769,0.5857,0.1491,0.0268,0.8987,0.3312,False,0.6717,0.661,,
20260706-153716,levir_val_25.png,deep_winter,zero_shot,0,levir_val_25__deep_winter__zero_shot__v0.png,0.963,0.6639,0.0506,0.0326,0.9032,0.2834,False,0.6553,0.66,,
20260706-153716,levir_val_25.png,deep_winter,contextual,0,levir_val_25__deep_winter__contextual__v0.png,0.9414,0.6231,0.1002,0.0575,0.8778,0.3145,False,0.6525,0.661,,
20260706-153716,levir_val_25.png,deep_winter,positive,0,levir_val_25__deep_winter__positive__v0.png,0.936,0.6251,0.1346,0.0802,0.8738,0.3374,False,0.6592,0.661,,
20260706-153716,levir_val_25.png,deep_winter,negative,0,levir_val_25__deep_winter__negative__v0.png,0.9291,0.5818,0.1904,0.1163,0.8596,0.3743,False,0.6655,0.663,,
20260706-153716,levir_val_25.png,deep_winter,few_shot,0,levir_val_25__deep_winter__few_shot__v0.png,0.9805,0.5924,0.0311,0.0251,0.9029,0.2719,False,0.6505,0.662,,
20260706-153716,levir_val_25.png,deep_winter,cot,0,levir_val_25__deep_winter__cot__v0.png,0.9558,0.621,0.0858,0.0481,0.8888,0.3049,False,0.6553,0.662,,
20260706-153716,levir_val_25.png,deep_winter,kontext_guide,0,levir_val_25__deep_winter__kontext_guide__v0.png,0.8889,0.5255,0.2005,0.16,0.8163,0.3902,False,0.6458,0.662,,
20260706-153716,levir_val_25.png,deep_winter,hybrid,0,levir_val_25__deep_winter__hybrid__v0.png,0.9589,0.6012,0.0845,0.0514,0.8874,0.3051,False,0.6545,0.662,,
20260706-153716,levir_val_31.png,summer,zero_shot,0,levir_val_31__summer__zero_shot__v0.png,0.9698,0.5233,0.9143,,0.8805,0.9143,False,0.894,0.662,,
20260706-153716,levir_val_31.png,summer,contextual,0,levir_val_31__summer__contextual__v0.png,0.9305,0.5573,0.9867,,0.8559,0.9867,False,0.9082,0.662,,
20260706-153716,levir_val_31.png,summer,positive,0,levir_val_31__summer__positive__v0.png,0.9225,0.5646,0.9901,,0.8509,0.9901,False,0.9066,0.662,,
20260706-153716,levir_val_31.png,summer,negative,0,levir_val_31__summer__negative__v0.png,0.9072,0.545,0.9936,,0.8348,0.9936,False,0.8983,0.662,,
20260706-153716,levir_val_31.png,summer,few_shot,0,levir_val_31__summer__few_shot__v0.png,0.9201,0.5554,0.9914,,0.8472,0.9914,False,0.9048,0.662,,
20260706-153716,levir_val_31.png,summer,cot,0,levir_val_31__summer__cot__v0.png,0.9076,0.5666,0.9947,,0.8394,0.9947,False,0.9015,0.663,,
20260706-153716,levir_val_31.png,summer,kontext_guide,0,levir_val_31__summer__kontext_guide__v0.png,0.889,0.5675,0.9955,,0.8247,0.9955,False,0.893,0.66,,
