run_id,source,season,ptype,variant,out_file,dino_sim,ssim,clip_season_prob,clip_directional,structure_score,season_score,disqualified,score,gen_time_sec,manual_score,manual_comment
20260707-003754,levir_val_37.png,autumn,kontext_guide,0,levir_val_37__autumn__kontext_guide__v0.png,0.9314,0.6276,0.9977,0.2956,0.8707,0.8227,False,0.8515,18.116,,
20260707-003754,levir_val_37.png,autumn,contextual,0,levir_val_37__autumn__contextual__v0.png,0.9353,0.6198,0.9949,0.279,0.8722,0.8172,False,0.8502,18.12,,
20260707-003754,levir_val_37.png,winter,kontext_guide,0,levir_val_37__winter__kontext_guide__v0.png,0.8288,0.4714,0.3249,0.2437,0.7573,0.4734,False,0.6437,18.119,,
20260707-003754,levir_val_37.png,winter,contextual,0,levir_val_37__winter__contextual__v0.png,0.8879,0.5674,0.4359,0.1489,0.8238,0.5052,False,0.6964,18.12,,
20260707-003754,levir_val_37.png,deep_winter,kontext_guide,0,levir_val_37__deep_winter__kontext_guide__v0.png,0.6516,0.1332,0.9219,0.318,0.5479,0.7905,False,0.6449,18.116,,
20260707-003754,levir_val_37.png,deep_winter,contextual,0,levir_val_37__deep_winter__contextual__v0.png,0.6227,0.1271,0.8281,0.2707,0.5236,0.7317,False,0.6068,18.118,,
20260707-003754,levir_val_43.png,summer,kontext_guide,0,levir_val_43__summer__kontext_guide__v0.png,0.9482,0.7911,0.9324,,0.9168,0.9324,False,0.923,18.111,,
20260707-003754,levir_val_43.png,summer,contextual,0,levir_val_43__summer__contextual__v0.png,0.961,0.7956,0.9345,,0.9279,0.9345,False,0.9306,18.113,,
20260707-003754,levir_val_43.png,autumn,kontext_guide,0,levir_val_43__autumn__kontext_guide__v0.png,0.9451,0.7703,0.9946,0.2228,0.9102,0.803,False,0.8673,18.117,,
20260707-003754,levir_val_43.png,autumn,contextual,0,levir_val_43__autumn__contextual__v0.png,0.8155,0.482,0.9997,0.2046,0.7488,0.801,False,0.7697,18.116,,
20260707-003754,levir_val_43.png,winter,kontext_guide,0,levir_val_43__winter__kontext_guide__v0.png,0.7248,0.6987,0.7099,0.2617,0.7196,0.6704,False,0.6999,18.117,,
20260707-003754,levir_val_43.png,winter,contextual,0,levir_val_43__winter__contextual__v0.png,0.7543,0.7326,0.7751,0.2697,0.75,0.705,False,0.732,18.112,,
20260707-003754,levir_val_43.png,deep_winter,kontext_guide,0,levir_val_43__deep_winter__kontext_guide__v0.png,0.4374,0.3348,0.7654,0.3191,0.4169,0.7125,False,0.5351,18.117,,
20260707-003754,levir_val_43.png,deep_winter,contextual,0,levir_val_43__deep_winter__contextual__v0.png,0.4594,0.3449,0.7712,0.3144,0.4365,0.7142,False,0.5476,18.113,,
20260707-003754,levir_val_49.png,summer,kontext_guide,0,levir_val_49__summer__kontext_guide__v0.png,0.9819,0.7594,0.9519,,0.9374,0.9519,False,0.9432,18.109,,
20260707-003754,levir_val_49.png,summer,contextual,0,levir_val_49__summer__contextual__v0.png,0.9863,0.7491,0.946,,0.9389,0.946,False,0.9417,18.114,,
20260707-003754,levir_val_49.png,autumn,kontext_guide,0,levir_val_49__autumn__kontext_guide__v0.png,0.8054,0.5529,0.9997,0.2318,0.7549,0.8078,False,0.776,18.117,,
20260707-003754,levir_val_49.png,autumn,contextual,0,levir_val_49__autumn__contextual__v0.png,0.7864,0.514,0.9997,0.238,0.732,0.8094,False,0.7629,18.119,,
20260707-003754,levir_val_49.png,winter,kontext_guide,0,levir_val_49__winter__kontext_guide__v0.png,0.8856,0.4686,0.4452,0.1633,0.8022,0.5135,False,0.6867,18.116,,
20260707-003754,levir_val_49.png,winter,contextual,0,levir_val_49__winter__contextual__v0.png,0.9296,0.5036,0.4434,0.1746,0.8444,0.5153,False,0.7128,18.117,,
20260707-003754,levir_val_49.png,deep_winter,kontext_guide,0,levir_val_49__deep_winter__kontext_guide__v0.png,0.4527,0.18,0.7854,0.2769,0.3981,0.7119,False,0.5237,18.115,,
20260707-003754,levir_val_49.png,deep_winter,contextual,0,levir_val_49__deep_winter__contextual__v0.png,0.5505,0.1638,0.7735,0.3186,0.4732,0.7164,False,0.5705,18.119,,
20260707-003754,levir_val_55.png,summer,kontext_guide,0,levir_val_55__summer__kontext_guide__v0.png,0.9805,0.7203,0.9828,,0.9285,0.9828,False,0.9502,18.114,,
20260707-003754,levir_val_55.png,summer,contextual,0,levir_val_55__summer__contextual__v0.png,0.9845,0.7011,0.9788,,0.9278,0.9788,False,0.9482,18.111,,
20260707-003754,levir_val_55.png,autumn,kontext_guide,0,levir_val_55__autumn__kontext_guide__v0.png,0.978,0.7337,0.0294,0.0998,0.9291,0.2897,False,0.6733,18.113,,
20260707-003754,levir_val_55.png,autumn,contextual,0,levir_val_55__autumn__contextual__v0.png,0.9834,0.6846,0.0292,0.0876,0.9236,0.2865,False,0.6688,18.112,,
20260707-003754,levir_val_55.png,winter,kontext_guide,0,levir_val_55__winter__kontext_guide__v0.png,0.8922,0.562,0.662,0.2724,0.8261,0.6491,False,0.7553,18.114,,
20260707-003754,levir_val_55.png,winter,contextual,0,levir_val_55__winter__contextual__v0.png,0.8598,0.5416,0.7466,0.2753,0.7962,0.6921,False,0.7546,18.114,,
20260707-003754,levir_val_55.png,deep_winter,kontext_guide,0,levir_val_55__deep_winter__kontext_guide__v0.png,0.7608,0.3789,0.4278,0.2674,0.6844,0.5308,False,0.623,18.115,,
20260707-003754,levir_val_55.png,deep_winter,contextual,0,levir_val_55__deep_winter__contextual__v0.png,0.782,0.3701,0.4008,0.2602,0.6996,0.5155,False,0.6259,18.111,,
